
S&P 500 INDEX,Last: 4604.3701,Change:  18.7801
Date: 9 декабря 2023 г. в 13:49 GMT-5,Bid: 4579.7998,Ask: 4623.75,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Dec 08 2023,SPXW231208C04410000,173.41,-2.09,189.4,197.9,22,0,0,0,285,4410.00,SPXW231208P04410000,0.1,0,0,0.05,0,0,0,0,788
Fri Dec 08 2023,SPXW231208C04415000,190.76,20.21,184.4,192.9,98,0,0,0,152,4415.00,SPXW231208P04415000,0.05,-0.075,0,0.05,220,0,0,0,1552
Fri Dec 08 2023,SPXW231208C04420000,184.64,19.09,179.4,187.9,40,0,0,0,344,4420.00,SPXW231208P04420000,0.1,0,0,0.05,0,0,0,0,1273
Fri Dec 08 2023,SPXW231208C04425000,163.21,2.66,174.4,182.9,31,0,0,0,456,4425.00,SPXW231208P04425000,0.05,-0.075,0,0.05,150,0,0,0,3043
Fri Dec 08 2023,SPXW231208C04430000,175.95,20.55,169.3,177.9,644,0,0,0,926,4430.00,SPXW231208P04430000,0.05,-0.075,0,0.05,41,0,0,0,3272
Fri Dec 08 2023,SPXW231208C04435000,166.24,15.64,164.2,172.9,43,0,0,0,191,4435.00,SPXW231208P04435000,0.05,-0.075,0,0.05,36,0,0,0,1737
Fri Dec 08 2023,SPXW231208C04440000,164.62,21.27,159.2,167.9,63,0,0,0,181,4440.00,SPXW231208P04440000,0.05,-0.075,0,0.05,50,0,0,0,3619
Fri Dec 08 2023,SPXW231208C04445000,157.68,19.38,154.2,162.9,56,0,0,0,156,4445.00,SPXW231208P04445000,0.05,-0.075,0,0.05,29,0,0,0,1479
Fri Dec 08 2023,SPXW231208C04450000,154.35,21.05,149.3,157.9,114,0,0,0,2951,4450.00,SPXW231208P04450000,0.05,-0.075,0,0.05,739,0,0,0,11932
Fri Dec 08 2023,SPXW231208C04455000,150.89,22.54,144.4,152.9,10,0,0,0,873,4455.00,SPXW231208P04455000,0.05,-0.075,0,0.05,275,0,0,0,10158
Fri Dec 08 2023,SPXW231208C04460000,148.7,25.4,139.4,147.9,69,0,0,0,473,4460.00,SPXW231208P04460000,0.05,-0.075,0,0.05,1433,0,0,0,4302
Fri Dec 08 2023,SPXW231208C04465000,138.95,20.6,134.4,142.9,52,0,0,0,221,4465.00,SPXW231208P04465000,0.05,-0.1,0,0.05,1272,0,0,0,2614
Fri Dec 08 2023,SPXW231208C04470000,135,19.45,129.4,137.9,226,0,0,0,242,4470.00,SPXW231208P04470000,0.05,-0.125,0,0.05,939,0,0,0,5752
Fri Dec 08 2023,SPXW231208C04475000,130,21.6,124.4,132.9,173,0,0,0,3792,4475.00,SPXW231208P04475000,0.05,-0.125,0,0.05,1130,0,0,0,7066
Fri Dec 08 2023,SPXW231208C04480000,127.72,24.32,119.4,127.9,236,0,0,0,360,4480.00,SPXW231208P04480000,0.05,-0.125,0,0.05,1085,0,0,0,6630
Fri Dec 08 2023,SPXW231208C04485000,120.46,22.01,114.4,122.9,8,0,0,0,829,4485.00,SPXW231208P04485000,0.05,-0.175,0,0.05,1224,0,0,0,2023
Fri Dec 08 2023,SPXW231208C04490000,116.04,22.54,109.2,117.9,15,0,0,0,233,4490.00,SPXW231208P04490000,0.05,-0.225,0,0.05,3845,0,0,0,3078
Fri Dec 08 2023,SPXW231208C04495000,110.53,20.88,105.1,112.5,20,0,0,0,131,4495.00,SPXW231208P04495000,0.05,-0.25,0,0.05,4203,0,0,0,2893
Fri Dec 08 2023,SPXW231208C04500000,106.51,21.81,100.1,107.5,329,0,0,0,2828,4500.00,SPXW231208P04500000,0.05,-0.325,0,0.05,4662,0,0,0,9291
Fri Dec 08 2023,SPXW231208C04505000,104.09,24.34,95.1,102.5,36,0,0,0,213,4505.00,SPXW231208P04505000,0.05,-0.375,0,0.05,4156,0,0,0,3775
Fri Dec 08 2023,SPXW231208C04510000,97.71,22.86,90.1,97.5,156,0,0,0,987,4510.00,SPXW231208P04510000,0.05,-0.475,0,0.05,4777,0,0,0,5625
Fri Dec 08 2023,SPXW231208C04515000,93.31,23.31,84.9,92.5,178,0,0,0,427,4515.00,SPXW231208P04515000,0.05,-0.625,0,0.05,3389,0,0,0,6537
Fri Dec 08 2023,SPXW231208C04520000,86.43,21.23,79.9,87.5,228,0,0,0,1628,4520.00,SPXW231208P04520000,0.05,-0.825,0,0.05,7006,0,0,0,5587
Fri Dec 08 2023,SPXW231208C04525000,80.18,19.68,74.9,82.5,186,0,0,0,2079,4525.00,SPXW231208P04525000,0.05,-1.1,0,0.05,11199,0,0,0,5535
Fri Dec 08 2023,SPXW231208C04530000,74.25,18.4,70.1,77.5,722,0,0,0,734,4530.00,SPXW231208P04530000,0.05,-1.45,0,0.05,9901,0,0,0,7349
Fri Dec 08 2023,SPXW231208C04535000,72.22,20.92,65.1,72.5,219,0,0,0,419,4535.00,SPXW231208P04535000,0.05,-1.95,0,0.05,16367,0,0,0,3908
Fri Dec 08 2023,SPXW231208C04540000,68.42,21.52,60.1,67.5,1158,0,0,0,1383,4540.00,SPXW231208P04540000,0.05,-2.55,0,0.05,17633,0,0,0,6390
Fri Dec 08 2023,SPXW231208C04545000,62.66,19.96,55.1,62.5,421,0,0,0,902,4545.00,SPXW231208P04545000,0.05,-3.3,0,0.05,17608,0,0,0,3440
Fri Dec 08 2023,SPXW231208C04550000,55.07,16.47,49.9,57.5,1086,0,0,0,3172,4550.00,SPXW231208P04550000,0.05,-4.25,0,0.05,29444,0,0,0,7388
Fri Dec 08 2023,SPXW231208C04555000,52.27,17.52,44.9,52.5,648,0,0,0,1260,4555.00,SPXW231208P04555000,0.05,-5.4,0,0.05,23616,0,0,0,2621
Fri Dec 08 2023,SPXW231208C04560000,44.9,13.9,39.9,47.5,1585,0,0,0,2134,4560.00,SPXW231208P04560000,0.05,-6.65,0,0.05,33640,0,0,0,2948
Fri Dec 08 2023,SPXW231208C04565000,39.59,12.09,34.9,42.5,1546,0,0,0,1992,4565.00,SPXW231208P04565000,0.05,-8.15,0,0.05,37781,0,0,0,2153
Fri Dec 08 2023,SPXW231208C04570000,35.1,11.05,29.9,37.5,3183,0,0,0,1937,4570.00,SPXW231208P04570000,0.05,-9.9,0,0.05,55910,0,0,0,1775
Fri Dec 08 2023,SPXW231208C04575000,30.2,9.2,24.9,32.5,6262,0,0,0,4248,4575.00,SPXW231208P04575000,0.05,-11.85,0,0.05,62457,0,0,0,5559
